id,timestamp,endpoint,user_id,session_id,prompt,prompt_version,model,latency_ms,input_tokens,output_tokens,total_tokens,cost,status_code,feedback
af6e4a38-62b3-407d-8189-caf813951eef,2025-11-03T09:24:53.133164,/llmops/demo,demo_user,30eb9ed3-dbc9-4f1d-b250-bb7478e30dc3,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,4578,47,121,168,8.4e-05,200,
958de122-231e-42fb-916c-0e87a866dc94,2025-11-03T09:24:55.524762,/llmops/demo,demo_user,ab04a546-66a5-4a57-b746-aaee5c2a3341,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,2389,47,104,151,7.6e-05,200,
d2a9adba-5831-40c9-8366-3167cd95011d,2025-11-03T09:24:57.713287,/llmops/demo,demo_user,464e2809-e699-4295-ac67-7715583481dc,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,2185,47,97,144,7.2e-05,200,
fdb1f0f4-afb4-48b0-a497-58cfbe485fd5,2025-11-03T09:25:02.116353,/llmops/demo,demo_user,52e0f9fb-33d1-4772-b758-5a9b257f2d1e,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,4400,63,122,185,9.2e-05,200,
3480851d-48e7-409a-bb20-3e9ebeb7e0d9,2025-11-03T09:25:05.996400,/llmops/demo,demo_user,0ea2a484-acac-40c0-8226-13c3cd2c9b14,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,3878,63,124,187,9.3e-05,200,
2de138b3-e0b5-4137-81f8-b08427efecd4,2025-11-03T09:25:10.958890,/llmops/demo,demo_user,4bdb1a8f-567f-482d-b3a3-784cce4fc726,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,4961,63,127,190,9.5e-05,200,
97d05e74-aa3d-4087-975a-e9b7d39101e7,2025-11-03T09:39:49.466599,/llmops/demo,demo_user,fa5e651d-91a8-4e16-b20d-926dba445888,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,4920,47,118,165,8.2e-05,200,
a5db27da-e7d0-4cf1-8afd-b6873de9ec75,2025-11-03T09:39:52.402448,/llmops/demo,demo_user,8f7a30b2-9db0-4e7f-8fe5-2e3c7f062af6,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,2926,47,117,164,8.2e-05,200,
9f3db11c-7eb4-4c9f-bdb9-be6501ff8f6d,2025-11-03T09:39:55.567278,/llmops/demo,demo_user,90fe2d24-1371-47a4-86ec-b2c3d1b8bd57,"LLMOps를 처음 배우는 대학생에게, 아주 간단하게 한 문단으로 설명해줘.",v1,gpt-4o-mini,3161,47,109,156,7.8e-05,200,
4accf704-983f-44d2-8579-0a655f4f35fb,2025-11-03T09:39:59.792883,/llmops/demo,demo_user,b9bbc8f2-6b6f-4eee-9a47-946bbef7e9b3,당신은 머신러닝 운영 전문가입니다. MLOps와 LLMOps의 차이를 핵심 키워드 위주로 3줄 이내로 정리해줘.,v2,gpt-4o-mini,4222,63,130,193,9.7e-05,200,
